Sample	Family ID	Gender	Relationship
HG01362	CLM33	male	father
HG01363	CLM33	female	mother
HG01364	CLM33	female	child
HG01365	CLM34	male	father
HG01366	CLM34	female	mother
HG01367	CLM34	female	child
HG01369	CLM35	female	mother
HG01372	CLM36	female	mother
HG01374	CLM37	male	father
HG01375	CLM37	female	mother
HG01376	CLM37	female	child
HG01377	CLM38	male	father
HG01378	CLM38	female	mother
HG01379	CLM38	female	child
HG01383	CLM40	male	father
HG01384	CLM40	female	mother
HG01385	CLM40	female	child
HG01389	CLM42	male	father
HG01390	CLM42	female	mother
HG01391	CLM42	female	child
HG01392	PR70	male	father
HG01393	PR70	female	mother
HG01394	PR70	female	child
HG01395	PR71	male	father
HG01396	PR71	female	mother
HG01397	PR71	female	child
HG01398	PR72	male	father
HG01402	PR74	male	father
HG01403	PR74	female	mother
HG01404	PR74	female	child
HG01405	PR75	male	father
HG01411	PR63	male	child
HG01412	PR76	male	father
HG01413	PR78	male	father
HG01414	PR78	female	mother
HG01415	PR78	female	child
HG01431	CLM43	male	father
HG01432	CLM43	female	mother
HG01433	CLM43	male	child
HG01435	CLM44	female	mother
HG01437	CLM45	male	father
HG01438	CLM45	female	mother
HG01439	CLM45	female	child
HG01440	CLM46a	male	father
HG01441	CLM46	female	mother
HG01442	CLM46	male	child
HG01443	CLM47	male	father
HG01444	CLM47	female	mother
HG01445	CLM47	male	child
HG01447	CLM48	female	mother
HG01452	CLM50	male	father
HG01453	CLM50	female	mother
HG01454	CLM50	female	child
HG01455	CLM51	male	father
HG01456	CLM51	female	mother
HG01457	CLM51	male	child
HG01459	CLM52	female	mother
HG01461	CLM53	male	father
HG01462	CLM53	female	mother
HG01463	CLM53	female	child
HG01464	CLM54	male	father
HG01465	CLM54	female	mother
HG01466	CLM54	female	child
HG01468	CLM55	female	mother
HG01471	CLM56	female	null
HG01473	CLM57	male	father
HG01474	CLM57	female	mother
HG01477	CLM58	female	mother
HG01479	CLM59	male	father
HG01480	CLM59	female	mother
HG01481	CLM59	female	child
HG01482	CLM60	male	father
HG01483	CLM60	female	mother
HG01484	CLM60	female	child
HG01485	CLM61	male	father
HG01486	CLM61	female	mother
HG01487	CLM61	female	child
HG01488	CLM62	male	father
HG01489	CLM62	female	mother
HG01490	CLM62	female	child
HG01491	CLM63	male	father
HG01492	CLM63	female	mother
HG01493	CLM63	female	child
HG01494	CLM64	male	father
HG01495	CLM64	female	mother
HG01496	CLM64	female	child
HG01497	CLM65	male	father
HG01498	CLM65	female	mother
HG01499	CLM65	male	child
HG01500	IBS001	male	father
HG01501	IBS001	female	mother
HG01502	IBS001	male	child
HG01503	IBS002	male	father
HG01504	IBS002	female	mother
HG01505	IBS002	male	child
HG01506	IBS003	male	father
HG01507	IBS003	female	mother
HG01508	IBS003	male	child
HG01509	IBS004	male	father
HG01510	IBS004	female	mother
HG01511	IBS004	female	child
HG01512	IBS005	male	father
HG01513	IBS005	female	mother
HG01514	IBS005	female	child
HG01515	IBS006	male	father
HG01516	IBS006	female	mother
HG01517	IBS006	female	child
HG01518	IBS007	male	father
HG01519	IBS007	female	mother
HG01520	IBS007	female	child
HG01521	IBS008	male	father
HG01522	IBS008	female	mother
HG01523	IBS008	male	child
HG01524	IBS009	male	father
HG01525	IBS009	female	mother
HG01526	IBS009	male	child
HG01527	IBS010	male	father
HG01528	IBS010	female	mother
HG01529	IBS010	male	child
HG01530	IBS011	male	father
HG01531	IBS011	female	mother
HG01532	IBS011	male	child
HG01536	IBS013	male	father
HG01537	IBS013	female	mother
HG01538	IBS013	female	child
HG01550	CLM66	male	father
HG01551	CLM66	female	mother
HG01552	CLM66	male	child
HG01556	CLM68	male	father
HG01565	PEL001	male	father
HG01566	PEL001	female	mother
HG01567	PEL001	female	child
HG01571	PEL003	male	father
HG01572	PEL003	female	mother
HG01573	PEL003	female	child
HG01577	PEL005	male	father
HG01578	PEL005	female	mother
HG01579	PEL005	male	child
HG01583	PK02	male	father
HG01586	PK03	male	father
HG01589	PK04	male	father
HG01590	PK04	female	mother
HG01593	PK05	female	mother
HG01594	PK05	male	child
HG01595	VN001	female	null
HG01596	VN002	male	null
HG01597	VN003	female	null
HG01598	VN004	female	null
HG01599	VN005	female	null
HG01600	VN006	female	null
HG01601	IBS024	male	child
HG01602	IBS024	female	mother
HG01603	IBS024	male	father
HG01604	IBS023	female	child
HG01605	IBS023	female	mother
HG01606	IBS023	male	father
HG01607	IBS022	female	mother
HG01608	IBS022	male	father
HG01609	IBS022	male	child
HG01610	IBS021	male	father
HG01611	IBS021	male	child
HG01612	IBS021	female	mother
HG01613	IBS020	female	mother
HG01614	IBS020	female	child
HG01615	IBS020	male	father
HG01616	IBS019	female	child
HG01617	IBS019	male	father
HG01618	IBS019	female	mother
HG01619	IBS018	male	father
HG01620	IBS018	female	mother
HG01621	IBS018	male	child
HG01622	IBS017	female	child
HG01623	IBS017	female	mother
HG01624	IBS017	male	father
HG01625	IBS016	male	father
